project_id,project_name,ministry,sector,state,implementing_agency,original_cost,revised_cost,cumulative_expenditure,planned_duration_months,elapsed_months,expected_delay_months,physical_progress,expected_progress,financial_progress,previous_physical_progress,progress_change,previous_expenditure,expenditure_change,total_milestones,completed_milestones,delayed_milestones,progress_gap,cost_overrun_percent,time_overrun_percent,cost_overrun,time_overrun,risk_score,risk_level
PRJ-00325,Infrastructure Project 00325,Ministry of Jal Shakti,Steel,West Bengal,Public Sector Undertaking,20901.8,28916.83,22460.51,74,72,9.64,100.0,97.3,70.29,98.19,1.81,19519.88,2940.63,29,25,1,-2.7,38.35,13.03,1,1,25.91,Low
PRJ-00326,Infrastructure Project 00326,Ministry of Communications,Water & Sanitation,Tamil Nadu,Infrastructure Development Authority,15423.98,17575.38,5499.04,82,43,0.49,41.53,52.44,30.84,41.46,0.08,5437.08,61.97,26,8,1,10.9,13.95,0.6,1,0,25.91,Low
PRJ-00327,Infrastructure Project 00327,Ministry of Coal,Mining,Andhra Pradesh,Infrastructure Development Authority,18007.22,19451.99,8624.82,77,33,0.29,28.52,42.86,46.43,24.66,3.86,8086.54,538.28,23,3,4,14.34,8.02,0.37,0,0,22.36,Low
PRJ-00328,Infrastructure Project 00328,Ministry of Jal Shakti,Energy,Gujarat,Infrastructure Development Authority,10885.66,11834.94,4492.04,67,50,12.63,77.43,74.63,42.84,74.87,2.56,4429.02,63.01,17,8,1,-2.81,8.72,18.85,0,1,26.53,Low
PRJ-00329,Infrastructure Project 00329,Ministry of Coal,Communication,Rajasthan,Infrastructure Development Authority,47389.04,47959.34,33551.12,37,22,0.0,56.29,59.46,66.62,49.02,7.27,33082.54,468.58,28,12,0,3.17,1.2,0.0,0,0,8.95,Low
PRJ-00330,Infrastructure Project 00330,Ministry of Housing,Transport & Logistics,Tamil Nadu,Infrastructure Development Authority,32117.1,32847.91,27105.25,99,17,0.66,25.09,17.17,75.46,20.28,4.81,26858.53,246.72,27,14,1,-7.92,2.28,0.67,0,0,3.49,Low
PRJ-00331,Infrastructure Project 00331,Ministry of Road Transport,Energy,Gujarat,Public Sector Undertaking,21886.94,23460.57,11244.32,95,27,9.1,26.18,28.42,46.79,18.75,7.43,10266.51,977.81,27,7,1,2.24,7.19,9.58,0,0,14.02,Low
PRJ-00332,Infrastructure Project 00332,Ministry of Road Transport,Social Infrastructure,Telangana,State Government Agency,17379.17,19493.28,6442.81,116,17,1.51,8.61,14.66,28.77,4.58,4.03,5606.23,836.58,7,0,0,6.04,12.16,1.3,1,0,13.0,Low
PRJ-00333,Infrastructure Project 00333,Ministry of Jal Shakti,Coal,Maharashtra,Public Sector Undertaking,17916.78,20357.77,10851.56,102,45,8.63,51.35,44.12,56.54,46.66,4.69,10126.03,725.53,28,8,0,-7.23,13.62,8.46,1,0,6.38,Low
PRJ-00334,Infrastructure Project 00334,Ministry of Steel,Energy,Uttar Pradesh,Public Sector Undertaking,22514.33,29735.82,5069.62,85,91,16.92,100.0,100.0,14.41,96.26,3.74,4862.18,207.44,18,7,0,0.0,32.08,19.91,1,1,37.25,Medium
PRJ-00335,Infrastructure Project 00335,Ministry of Road Transport,Communication,Uttar Pradesh,Central Government Agency,12461.23,12914.98,6854.83,106,74,0.0,69.74,69.81,62.96,69.15,0.6,6336.92,517.91,7,7,0,0.07,3.64,0.0,0,0,0.0,Low
PRJ-00336,Infrastructure Project 00336,Ministry of Communications,Transport & Logistics,Tamil Nadu,Infrastructure Development Authority,28618.99,32747.3,15369.09,109,17,15.49,6.93,15.6,41.41,0.23,6.71,13860.85,1508.24,5,3,0,8.66,14.43,14.21,1,1,18.36,Low
PRJ-00337,Infrastructure Project 00337,Ministry of Coal,Communication,Madhya Pradesh,State Government Agency,16178.86,17955.73,14823.41,51,32,1.66,60.49,62.75,79.2,57.88,2.62,14799.4,24.01,15,3,0,2.25,10.98,3.25,1,0,15.24,Low
PRJ-00338,Infrastructure Project 00338,Ministry of Coal,Energy,Gujarat,State Government Agency,38678.1,52202.38,5525.08,80,64,13.05,67.95,80.0,13.65,62.94,5.01,4970.59,554.49,22,21,2,12.05,34.97,16.31,1,1,43.58,Medium
PRJ-00339,Infrastructure Project 00339,Ministry of Railways,Communication,Madhya Pradesh,State Government Agency,6758.82,7253.24,1633.77,108,99,8.21,77.13,91.67,17.9,71.24,5.9,1616.59,17.18,25,14,3,14.54,7.32,7.6,0,0,30.17,Low
PRJ-00340,Infrastructure Project 00340,Ministry of Railways,Transport & Logistics,West Bengal,Central Government Agency,35599.42,37209.26,13122.89,114,85,0.0,91.03,74.56,34.49,87.21,3.82,12195.04,927.85,8,0,0,-16.47,4.52,0.0,0,0,0.0,Low
PRJ-00341,Infrastructure Project 00341,Ministry of Jal Shakti,Energy,Madhya Pradesh,Infrastructure Development Authority,12850.16,13973.43,3208.96,38,10,7.51,15.31,26.32,22.54,11.8,3.51,2842.99,365.97,19,9,0,11.01,8.74,19.76,0,1,17.67,Low
PRJ-00342,Infrastructure Project 00342,Ministry of Road Transport,Social Infrastructure,Madhya Pradesh,Infrastructure Development Authority,45141.31,47013.56,2776.91,70,15,2.81,14.06,21.43,17.03,11.32,2.75,2542.99,233.92,26,8,0,7.37,4.15,4.01,0,0,22.57,Low
PRJ-00343,Infrastructure Project 00343,Ministry of Road Transport,Water & Sanitation,Maharashtra,Public Sector Undertaking,14341.68,14801.76,9664.72,25,26,9.08,100.0,100.0,64.63,93.5,6.5,8427.55,1237.18,9,6,0,0.0,3.21,36.32,0,1,23.31,Low
PRJ-00344,Infrastructure Project 00344,Ministry of Housing,Energy,Madhya Pradesh,Public Sector Undertaking,45212.06,61967.64,25133.08,34,13,7.78,26.08,38.24,30.62,18.91,7.17,24657.49,475.59,17,17,2,12.16,37.06,22.88,1,1,35.65,Medium
PRJ-00345,Infrastructure Project 00345,Ministry of Steel,Transport & Logistics,Uttar Pradesh,Central Government Agency,21594.27,23427.6,11860.22,49,15,3.59,20.88,30.61,51.0,18.15,2.73,10149.03,1711.19,13,7,1,9.74,8.49,7.33,0,0,22.32,Low
PRJ-00346,Infrastructure Project 00346,Ministry of Railways,Steel,Uttar Pradesh,Infrastructure Development Authority,32192.41,42456.35,29349.89,40,48,6.69,100.0,100.0,68.27,96.78,3.22,28683.1,666.79,16,2,0,0.0,31.88,16.73,1,1,35.99,Medium
PRJ-00347,Infrastructure Project 00347,Ministry of Power,Social Infrastructure,Gujarat,Central Government Agency,13311.04,15691.46,3704.04,112,94,4.7,83.05,83.93,21.95,78.44,4.61,3396.41,307.63,26,25,0,0.88,17.88,4.19,1,0,16.73,Low
PRJ-00348,Infrastructure Project 00348,Ministry of Communications,Energy,Bihar,Infrastructure Development Authority,4173.32,4512.28,669.34,45,45,6.82,100.0,100.0,15.95,98.59,1.41,597.38,71.96,18,3,0,0.0,8.12,15.15,0,1,15.71,Low
PRJ-00349,Infrastructure Project 00349,Ministry of Coal,Water & Sanitation,Madhya Pradesh,Central Government Agency,22774.25,27377.66,14053.06,84,82,10.71,97.64,97.62,46.09,96.34,1.31,13288.36,764.7,16,9,0,-0.03,20.21,12.75,1,1,16.33,Low
PRJ-00350,Infrastructure Project 00350,Ministry of Power,Transport & Logistics,West Bengal,Public Sector Undertaking,34241.26,44150.39,12199.14,101,82,12.99,74.12,81.19,31.52,73.1,1.03,12165.5,33.63,11,11,1,7.06,28.94,12.86,1,1,35.41,Medium
PRJ-00351,Infrastructure Project 00351,Ministry of Housing,Mining,Karnataka,Infrastructure Development Authority,31355.3,36379.47,16245.35,111,57,0.0,44.2,51.35,42.58,42.65,1.54,15962.24,283.11,5,1,1,7.15,16.02,0.0,1,0,24.65,Low
PRJ-00352,Infrastructure Project 00352,Ministry of Power,Transport & Logistics,Tamil Nadu,Infrastructure Development Authority,19610.27,21510.86,12497.54,79,25,4.41,15.09,31.65,59.77,14.49,0.6,12245.96,251.58,25,3,5,16.56,9.69,5.58,0,0,20.31,Low
PRJ-00353,Infrastructure Project 00353,Ministry of Road Transport,Social Infrastructure,Tamil Nadu,Central Government Agency,35441.2,36325.6,14520.01,61,13,0.0,34.69,21.31,41.7,34.37,0.32,12556.66,1963.35,26,16,0,-13.38,2.5,0.0,0,0,11.3,Low
PRJ-00354,Infrastructure Project 00354,Ministry of Road Transport,Mining,Karnataka,Infrastructure Development Authority,41746.29,45234.69,2987.15,69,54,3.83,84.83,78.26,5.72,81.6,3.23,2683.06,304.09,22,16,0,-6.56,8.36,5.56,0,0,0.0,Low
PRJ-00355,Infrastructure Project 00355,Ministry of Railways,Transport & Logistics,Uttar Pradesh,Infrastructure Development Authority,30023.98,33527.78,24773.37,79,55,7.67,56.99,69.62,77.11,53.67,3.32,23558.45,1214.92,24,5,2,12.63,11.67,9.71,1,0,22.17,Low
PRJ-00356,Infrastructure Project 00356,Ministry of Power,Transport & Logistics,Tamil Nadu,State Government Agency,41870.85,45981.63,31248.23,26,28,16.92,100.0,100.0,78.4,97.92,2.08,30851.46,396.77,28,17,2,0.0,9.82,65.07,0,1,31.6,Low
PRJ-00357,Infrastructure Project 00357,Ministry of Railways,Mining,Rajasthan,Infrastructure Development Authority,22889.51,25696.88,7296.17,25,21,1.74,83.33,84.0,31.91,77.7,5.63,6261.2,1034.97,14,8,1,0.67,12.26,6.97,1,0,14.25,Low
PRJ-00358,Infrastructure Project 00358,Ministry of Railways,Mining,Rajasthan,State Government Agency,23323.01,24143.96,16864.15,111,112,0.0,100.0,100.0,69.3,95.66,4.34,16489.51,374.64,5,4,0,0.0,3.52,0.0,0,0,2.32,Low
PRJ-00359,Infrastructure Project 00359,Ministry of Road Transport,Energy,Uttar Pradesh,State Government Agency,46636.92,66938.55,39546.89,50,19,0.0,36.24,38.0,62.39,35.85,0.38,34503.64,5043.25,20,0,1,1.76,43.53,0.0,1,0,24.65,Low
PRJ-00360,Infrastructure Project 00360,Ministry of Steel,Water & Sanitation,Rajasthan,Central Government Agency,40550.26,41425.8,28137.26,118,35,5.22,31.52,29.66,60.01,24.41,7.11,24589.42,3547.84,19,6,0,-1.85,2.16,4.42,0,0,10.46,Low
PRJ-00361,Infrastructure Project 00361,Ministry of Power,Steel,Madhya Pradesh,Public Sector Undertaking,16128.73,20706.67,9540.55,73,58,7.7,83.31,79.45,46.25,76.22,7.09,8341.48,1199.07,22,3,0,-3.86,28.38,10.55,1,1,20.88,Low
PRJ-00362,Infrastructure Project 00362,Ministry of Coal,Mining,Andhra Pradesh,Central Government Agency,5360.72,5579.14,1866.89,84,88,8.7,100.0,100.0,29.89,98.82,1.18,1846.38,20.51,8,3,0,0.0,4.07,10.35,0,1,13.59,Low
PRJ-00363,Infrastructure Project 00363,Ministry of Coal,Steel,Bihar,State Government Agency,37702.65,38872.6,21269.98,92,71,0.0,77.22,77.17,58.47,74.48,2.74,18814.02,2455.96,29,20,0,-0.05,3.1,0.0,0,0,6.82,Low
PRJ-00364,Infrastructure Project 00364,Ministry of Coal,Energy,Telangana,Central Government Agency,49318.46,54526.58,43272.54,90,73,15.77,90.03,81.11,75.5,85.06,4.97,38605.66,4666.88,7,6,0,-8.92,10.56,17.53,1,1,13.35,Low
PRJ-00365,Infrastructure Project 00365,Ministry of Steel,Steel,Telangana,Public Sector Undertaking,7204.83,8350.83,6413.85,107,79,0.0,84.53,73.83,77.93,77.8,6.73,6381.69,32.16,8,5,1,-10.69,15.91,0.0,1,0,20.11,Low
PRJ-00366,Infrastructure Project 00366,Ministry of Jal Shakti,Mining,Bihar,Infrastructure Development Authority,22446.56,22950.21,14885.3,116,68,12.12,51.58,58.62,66.02,44.27,7.32,14419.43,465.88,15,10,1,7.04,2.24,10.45,0,1,11.03,Low
PRJ-00367,Infrastructure Project 00367,Ministry of Housing,Mining,Madhya Pradesh,State Government Agency,33758.75,38370.26,3343.85,84,68,13.4,72.44,80.95,9.23,67.97,4.48,3336.56,7.29,10,5,0,8.51,13.66,15.95,1,1,29.49,Low
PRJ-00368,Infrastructure Project 00368,Ministry of Railways,Coal,Bihar,Infrastructure Development Authority,35709.09,37430.72,23402.37,85,56,1.71,71.71,65.88,67.97,64.53,7.18,21583.24,1819.13,20,9,1,-5.82,4.82,2.01,0,0,4.12,Low
PRJ-00369,Infrastructure Project 00369,Ministry of Power,Energy,West Bengal,State Government Agency,43978.34,46755.83,26735.51,75,30,13.95,26.84,40.0,52.83,25.99,0.86,23850.24,2885.27,20,4,3,13.16,6.32,18.59,0,1,24.92,Low
PRJ-00370,Infrastructure Project 00370,Ministry of Jal Shakti,Coal,Tamil Nadu,Central Government Agency,2967.31,3397.9,2726.57,84,65,9.38,62.68,77.38,72.58,58.19,4.49,2687.7,38.88,11,11,4,14.7,14.51,11.17,1,1,29.22,Low
PRJ-00371,Infrastructure Project 00371,Ministry of Communications,Steel,Telangana,Infrastructure Development Authority,8040.57,8341.8,4209.73,36,37,4.83,100.0,100.0,46.46,99.73,0.27,3633.34,576.39,17,15,1,0.0,3.75,13.42,0,1,15.65,Low
PRJ-00372,Infrastructure Project 00372,Ministry of Railways,Mining,Rajasthan,Public Sector Undertaking,25688.17,30810.21,11631.2,118,82,15.07,62.28,69.49,36.44,60.73,1.55,11027.84,603.36,29,11,0,7.21,19.94,12.77,1,1,37.22,Medium
PRJ-00373,Infrastructure Project 00373,Ministry of Jal Shakti,Steel,Tamil Nadu,Central Government Agency,32414.03,47072.37,6294.92,58,18,5.23,32.9,31.03,12.64,28.87,4.03,5537.98,756.94,9,0,0,-1.86,45.22,9.01,1,0,29.18,Low
PRJ-00374,Infrastructure Project 00374,Ministry of Road Transport,Steel,Telangana,State Government Agency,20045.6,20685.94,1773.38,116,90,6.55,69.52,77.59,4.79,68.61,0.91,1664.07,109.32,19,6,3,8.06,3.19,5.65,0,0,21.83,Low
PRJ-00375,Infrastructure Project 00375,Ministry of Communications,Mining,Odisha,Public Sector Undertaking,9045.77,9798.68,6931.99,92,89,0.91,100.0,96.74,83.93,97.13,2.87,6437.71,494.28,10,2,0,-3.26,8.32,0.99,0,0,7.45,Low
PRJ-00376,Infrastructure Project 00376,Ministry of Coal,Communication,Karnataka,State Government Agency,45077.77,53009.73,42170.84,52,4,0.55,8.53,7.69,77.74,7.5,1.03,39207.53,2963.31,7,5,4,-0.84,17.6,1.06,1,0,26.24,Low
PRJ-00377,Infrastructure Project 00377,Ministry of Communications,Social Infrastructure,Gujarat,Central Government Agency,13853.55,16017.35,2872.07,66,9,8.56,16.56,13.64,12.73,13.05,3.51,2535.18,336.89,19,2,1,-2.93,15.62,12.97,1,1,25.82,Low
PRJ-00378,Infrastructure Project 00378,Ministry of Housing,Communication,Rajasthan,Central Government Agency,39640.67,42783.8,6137.05,26,18,0.0,61.07,69.23,11.26,53.69,7.38,5613.74,523.31,22,17,0,8.16,7.93,0.0,0,0,17.39,Low
PRJ-00379,Infrastructure Project 00379,Ministry of Railways,Social Infrastructure,Rajasthan,Central Government Agency,4753.44,5081.31,2376.54,95,68,1.1,77.75,71.58,51.53,74.11,3.64,2110.91,265.63,16,2,1,-6.17,6.9,1.16,0,0,0.43,Low
PRJ-00380,Infrastructure Project 00380,Ministry of Jal Shakti,Water & Sanitation,Tamil Nadu,Central Government Agency,38861.39,39993.03,26865.85,111,113,1.82,100.0,100.0,71.05,97.83,2.17,24965.33,1900.53,11,1,1,0.0,2.91,1.64,0,0,9.5,Low
PRJ-00381,Infrastructure Project 00381,Ministry of Railways,Water & Sanitation,Maharashtra,Central Government Agency,5772.93,6411.63,1260.26,28,27,6.48,89.91,96.43,9.27,86.32,3.59,1152.38,107.88,8,4,0,6.51,11.06,23.13,1,1,27.09,Low
PRJ-00382,Infrastructure Project 00382,Ministry of Power,Mining,Gujarat,Infrastructure Development Authority,36676.26,43633.82,15088.15,116,59,6.25,44.32,50.86,33.72,39.63,4.69,12879.07,2209.08,13,2,2,6.54,18.97,5.39,1,0,29.98,Low
PRJ-00383,Infrastructure Project 00383,Ministry of Housing,Coal,West Bengal,Infrastructure Development Authority,20549.89,22764.6,8170.78,91,30,0.0,36.48,32.97,27.94,30.63,5.85,7873.95,296.82,8,5,1,-3.51,10.78,0.0,1,0,10.33,Low
PRJ-00384,Infrastructure Project 00384,Ministry of Housing,Energy,Odisha,Central Government Agency,14605.87,14727.29,2231.9,113,63,3.39,49.95,55.75,19.85,44.43,5.53,2096.6,135.3,16,4,2,5.8,0.83,3.0,0,0,6.62,Low
PRJ-00385,Infrastructure Project 00385,Ministry of Housing,Water & Sanitation,Karnataka,State Government Agency,32296.07,41167.17,12627.96,112,61,16.19,47.47,54.46,33.54,44.39,3.08,11865.94,762.02,12,2,1,6.99,27.47,14.45,1,1,27.84,Low
PRJ-00386,Infrastructure Project 00386,Ministry of Coal,Mining,West Bengal,State Government Agency,6463.8,6753.56,4041.54,116,61,19.22,52.68,52.59,52.93,50.79,1.89,3598.68,442.86,12,6,0,-0.09,4.48,16.57,0,1,18.8,Low
PRJ-00387,Infrastructure Project 00387,Ministry of Power,Water & Sanitation,Uttar Pradesh,Public Sector Undertaking,488.39,527.36,394.84,40,39,0.68,93.67,97.5,83.5,89.13,4.54,354.35,40.49,26,23,0,3.83,7.98,1.71,0,0,12.22,Low
PRJ-00388,Infrastructure Project 00388,Ministry of Steel,Energy,Madhya Pradesh,Central Government Agency,5679.37,7068.12,5300.75,107,9,4.55,14.08,8.41,69.32,8.22,5.87,4607.98,692.76,24,18,0,-5.67,24.45,4.25,1,0,11.63,Low
PRJ-00389,Infrastructure Project 00389,Ministry of Communications,Social Infrastructure,Gujarat,Central Government Agency,44905.12,60093.23,28250.59,102,90,23.17,74.82,88.24,52.94,68.98,5.84,26329.85,1920.74,25,16,3,13.41,33.82,22.72,1,1,36.13,Medium
PRJ-00390,Infrastructure Project 00390,Ministry of Steel,Energy,Andhra Pradesh,State Government Agency,33440.14,39126.14,8349.16,59,35,2.81,56.34,59.32,15.22,51.45,4.89,7477.47,871.69,12,10,1,2.98,17.0,4.77,1,0,28.25,Low
PRJ-00391,Infrastructure Project 00391,Ministry of Jal Shakti,Mining,Karnataka,Central Government Agency,6817.97,7117.17,3822.19,57,47,7.64,83.48,82.46,53.8,75.72,7.76,3424.76,397.44,23,9,1,-1.02,4.39,13.41,0,1,9.45,Low
PRJ-00392,Infrastructure Project 00392,Ministry of Railways,Communication,Madhya Pradesh,State Government Agency,38600.46,45064.58,30671.86,32,24,0.0,71.06,75.0,59.31,70.83,0.23,27887.92,2783.94,23,22,1,3.94,16.75,0.0,1,0,13.97,Low
PRJ-00393,Infrastructure Project 00393,Ministry of Power,Transport & Logistics,Maharashtra,Central Government Agency,43367.01,51842.11,11138.74,60,55,4.2,98.46,91.67,28.58,94.76,3.7,9566.57,1572.18,10,4,0,-6.8,19.54,7.0,1,0,17.29,Low
PRJ-00394,Infrastructure Project 00394,Ministry of Coal,Social Infrastructure,Tamil Nadu,State Government Agency,39285.83,45809.73,29885.76,70,8,3.32,5.68,11.43,58.33,3.15,2.54,28621.91,1263.85,16,15,0,5.75,16.61,4.74,1,0,18.56,Low
PRJ-00395,Infrastructure Project 00395,Ministry of Railways,Energy,Andhra Pradesh,State Government Agency,8053.03,8788.02,5807.9,61,43,5.5,77.88,70.49,70.6,73.57,4.31,5399.47,408.43,26,19,0,-7.38,9.13,9.02,0,0,19.35,Low
PRJ-00396,Infrastructure Project 00396,Ministry of Road Transport,Mining,Andhra Pradesh,Infrastructure Development Authority,25086.54,25861.39,18458.18,54,30,9.46,59.02,55.56,67.44,51.35,7.67,16476.7,1981.47,17,13,0,-3.47,3.09,17.52,0,1,13.92,Low
PRJ-00397,Infrastructure Project 00397,Ministry of Communications,Water & Sanitation,Madhya Pradesh,State Government Agency,29547.99,40554.11,20952.94,113,16,5.9,9.4,14.16,39.77,5.82,3.59,17870.82,3082.12,11,1,0,4.75,37.25,5.23,1,0,29.87,Low
PRJ-00398,Infrastructure Project 00398,Ministry of Communications,Water & Sanitation,Rajasthan,State Government Agency,6805.75,7672.8,1783.54,93,60,7.41,58.0,64.52,9.72,56.46,1.53,1694.23,89.31,9,0,0,6.52,12.74,7.97,1,0,21.01,Low
PRJ-00399,Infrastructure Project 00399,Ministry of Housing,Mining,Madhya Pradesh,Central Government Agency,3729.96,3883.54,1156.45,88,82,3.78,88.87,93.18,30.89,87.29,1.58,1010.15,146.3,21,8,1,4.31,4.12,4.29,0,0,15.18,Low
PRJ-00400,Infrastructure Project 00400,Ministry of Jal Shakti,Social Infrastructure,Andhra Pradesh,Infrastructure Development Authority,45089.07,53745.43,25053.14,103,8,13.23,5.0,7.77,45.48,4.12,0.88,23476.62,1576.52,26,14,1,2.77,19.2,12.84,1,1,10.5,Low
PRJ-00401,Infrastructure Project 00401,Ministry of Housing,Steel,Odisha,State Government Agency,6966.26,7503.28,2374.56,111,23,7.98,25.3,20.72,30.46,23.81,1.48,2142.44,232.12,26,5,2,-4.58,7.71,7.19,0,0,16.88,Low
PRJ-00402,Infrastructure Project 00402,Ministry of Road Transport,Water & Sanitation,West Bengal,Central Government Agency,16067.95,17289.61,3032.78,29,9,0.0,31.29,31.03,22.9,24.02,7.28,3024.57,8.2,13,4,0,-0.26,7.6,0.0,0,0,17.11,Low
PRJ-00403,Infrastructure Project 00403,Ministry of Coal,Social Infrastructure,Andhra Pradesh,Public Sector Undertaking,27135.57,30287.56,15709.6,92,32,4.9,40.76,34.78,54.06,39.84,0.92,13425.36,2284.24,8,3,0,-5.98,11.62,5.32,1,0,14.06,Low
PRJ-00404,Infrastructure Project 00404,Ministry of Road Transport,Coal,Rajasthan,State Government Agency,3434.82,3488.18,1344.73,96,55,5.78,59.59,57.29,28.62,57.97,1.62,1152.57,192.16,15,9,0,-2.3,1.55,6.02,0,0,8.85,Low
PRJ-00405,Infrastructure Project 00405,Ministry of Coal,Water & Sanitation,Andhra Pradesh,State Government Agency,13538.69,13925.57,9256.84,96,102,1.43,93.48,100.0,62.38,87.59,5.89,8421.8,835.04,27,14,2,6.52,2.86,1.49,0,0,8.38,Low
PRJ-00406,Infrastructure Project 00406,Ministry of Railways,Water & Sanitation,Bihar,Public Sector Undertaking,26552.78,35938.13,26557.76,33,10,0.0,20.96,30.3,72.82,13.67,7.29,22601.33,3956.43,19,9,0,9.35,35.35,0.0,1,0,30.42,Low
PRJ-00407,Infrastructure Project 00407,Ministry of Communications,Water & Sanitation,Odisha,State Government Agency,47922.64,57840.79,15710.74,83,28,12.74,18.31,33.73,31.61,11.9,6.4,14633.71,1077.03,19,12,2,15.43,20.7,15.35,1,1,31.82,Low
PRJ-00408,Infrastructure Project 00408,Ministry of Jal Shakti,Steel,Odisha,Infrastructure Development Authority,19025.32,23746.41,18801.58,24,30,13.47,100.0,100.0,74.14,96.47,3.53,17450.77,1350.81,16,11,0,0.0,24.81,56.13,1,1,34.47,Low
PRJ-00409,Infrastructure Project 00409,Ministry of Power,Communication,Uttar Pradesh,Infrastructure Development Authority,47673.21,60243.44,49328.33,90,40,9.79,31.33,44.44,79.32,29.97,1.36,45630.89,3697.45,22,3,2,13.11,26.37,10.88,1,1,30.22,Low
PRJ-00410,Infrastructure Project 00410,Ministry of Jal Shakti,Transport & Logistics,Odisha,Public Sector Undertaking,20032.24,24133.19,12910.34,67,44,4.66,70.03,65.67,53.96,66.26,3.77,11799.91,1110.42,14,9,0,-4.36,20.47,6.95,1,0,19.78,Low
PRJ-00411,Infrastructure Project 00411,Ministry of Railways,Steel,Telangana,Central Government Agency,16250.49,17662.07,1841.04,63,62,6.94,99.13,98.41,12.63,92.54,6.59,1652.5,188.54,7,4,2,-0.72,8.69,11.02,0,1,21.22,Low
PRJ-00412,Infrastructure Project 00412,Ministry of Communications,Communication,Gujarat,State Government Agency,47138.74,53665.48,20915.76,114,74,6.95,72.62,64.91,25.08,71.66,0.97,19578.88,1336.88,24,6,0,-7.71,13.85,6.09,1,0,10.8,Low
PRJ-00413,Infrastructure Project 00413,Ministry of Housing,Steel,Karnataka,Public Sector Undertaking,14215.46,18799.15,8169.71,70,4,4.61,8.42,5.71,41.4,5.8,2.62,7912.5,257.21,21,21,0,-2.71,32.24,6.58,1,0,26.81,Low
PRJ-00414,Infrastructure Project 00414,Ministry of Steel,Communication,Rajasthan,Public Sector Undertaking,26229.43,27816.65,7059.21,82,56,6.25,60.82,68.29,23.73,54.65,6.17,6687.28,371.93,10,9,0,7.47,6.05,7.63,0,0,14.53,Low
PRJ-00415,Infrastructure Project 00415,Ministry of Power,Communication,Bihar,Public Sector Undertaking,8303.22,8546.32,1203.92,81,7,2.79,11.57,8.64,14.19,10.56,1.01,1117.85,86.07,24,23,0,-2.93,2.93,3.44,0,0,4.39,Low
PRJ-00416,Infrastructure Project 00416,Ministry of Coal,Mining,Tamil Nadu,Public Sector Undertaking,24117.19,24711.04,5250.02,103,73,1.63,77.78,70.87,12.27,73.16,4.62,4980.48,269.54,5,3,0,-6.9,2.46,1.58,0,0,14.46,Low
PRJ-00417,Infrastructure Project 00417,Ministry of Railways,Communication,West Bengal,Public Sector Undertaking,6490.05,7558.41,2452.21,99,58,15.16,65.45,58.59,36.29,65.06,0.39,2241.26,210.95,17,12,0,-6.87,16.46,15.31,1,1,21.76,Low
PRJ-00418,Infrastructure Project 00418,Ministry of Steel,Coal,Telangana,Public Sector Undertaking,1099.31,1131.87,889.75,109,15,2.23,12.23,13.76,78.06,10.32,1.91,778.24,111.52,27,27,0,1.53,2.96,2.05,0,0,0.43,Low
PRJ-00419,Infrastructure Project 00419,Ministry of Road Transport,Steel,Rajasthan,Infrastructure Development Authority,36221.93,39482.61,24600.97,99,49,0.0,51.12,49.49,51.9,51.06,0.06,24376.19,224.77,19,12,0,-1.63,9.0,0.0,0,0,11.71,Low
PRJ-00420,Infrastructure Project 00420,Ministry of Jal Shakti,Transport & Logistics,Tamil Nadu,Public Sector Undertaking,9357.99,9911.08,4482.53,95,80,2.8,88.36,84.21,47.76,81.39,6.97,4020.35,462.18,16,12,0,-4.15,5.91,2.95,0,0,0.0,Low
PRJ-00421,Infrastructure Project 00421,Ministry of Communications,Energy,Tamil Nadu,State Government Agency,21491.95,24244.29,3355.09,112,97,7.76,90.65,86.61,11.8,89.79,0.87,3143.28,211.81,29,16,0,-4.05,12.81,6.93,1,0,21.87,Low
PRJ-00422,Infrastructure Project 00422,Ministry of Railways,Coal,Karnataka,Infrastructure Development Authority,10421.52,11738.97,7684.72,83,59,11.13,62.21,71.08,65.52,59.49,2.71,7312.76,371.96,26,22,3,8.88,12.64,13.41,1,1,22.95,Low
PRJ-00423,Infrastructure Project 00423,Ministry of Road Transport,Communication,Rajasthan,Infrastructure Development Authority,30518.39,30884.18,15301.56,108,11,6.44,19.83,10.19,41.78,19.2,0.64,14315.52,986.04,15,3,0,-9.65,1.2,5.97,0,0,11.57,Low
PRJ-00424,Infrastructure Project 00424,Ministry of Housing,Steel,Telangana,Central Government Agency,36063.62,37156.09,18308.37,35,33,3.26,91.41,94.29,45.38,88.68,2.72,16999.59,1308.78,22,2,0,2.88,3.03,9.31,0,0,9.01,Low
PRJ-00425,Infrastructure Project 00425,Ministry of Railways,Water & Sanitation,Gujarat,State Government Agency,8393.72,9927.47,2888.17,43,11,19.35,15.4,25.58,31.98,10.61,4.79,2761.43,126.74,10,10,3,10.18,18.27,45.0,1,1,53.37,Medium
PRJ-00426,Infrastructure Project 00426,Ministry of Road Transport,Mining,Bihar,Central Government Agency,5775.98,6255.71,2154.89,94,52,0.0,48.78,55.32,41.13,43.16,5.62,1949.93,204.96,23,12,1,6.54,8.31,0.0,0,0,4.28,Low
PRJ-00427,Infrastructure Project 00427,Ministry of Communications,Steel,Karnataka,Infrastructure Development Authority,48807.12,57679.96,46864.95,57,10,5.95,25.05,17.54,79.3,23.29,1.76,45450.75,1414.19,22,20,2,-7.51,18.18,10.43,1,1,20.36,Low
